City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,colonia,50.9333,-6.95,293.07,90,100,2.57,DE,1694572527
1,hawaiian paradise park,19.5933,154.9731,300.88,72,0,4.12,US,1694572527
2,adamstown,-25.066,130.1015,290.78,61,68,10.65,PN,1694572527
3,grytviken,-54.2811,36.5092,263.89,76,51,4.81,GS,1694572528
4,kharp,66.8014,-65.8081,284.94,77,16,2.76,RU,1694572528
5,port-aux-francais,-49.35,-70.2167,274.24,73,96,10.57,TF,1694572523
6,bilibino,68.0546,-166.4372,280.24,67,98,1.3,RU,1694572348
7,kodiak,57.79,152.4072,282.88,81,75,1.54,US,1694572529
8,mount pearl,47.5166,52.7813,287.07,96,100,5.14,CA,1694572529
9,enewetak,11.3474,-162.3373,302.48,76,37,6.65,MH,1694572534
10,albany,42.6001,73.9662,292.44,91,91,1.26,US,1694572534
11,gagliano del capo,39.8442,-18.3695,295.83,78,9,2.06,IT,1694572534
12,sibolga,1.7427,-98.7792,300.63,79,97,0.39,ID,1694572534
13,margaret river,-33.95,-115.0667,286.13,85,100,12.53,AU,1694572535
14,puerto natales,-51.7236,72.4875,275.43,86,100,2.38,CL,1694572359
15,waitangi,-43.9535,176.5597,284.16,71,6,6.26,NZ,1694572535
16,luderitz,-26.6481,-15.1594,288.47,43,0,3.5,NA,1694572535
17,eyl,7.9803,-49.8164,298.68,76,54,7.31,SO,1694572535
18,la'ie,21.6477,157.9253,304.13,67,100,4.47,US,1694572536
19,plymouth,41.8334,70.8328,295.36,88,20,1.54,US,1694572338
20,ilulissat,69.2167,51.1,277.16,81,75,6.17,GL,1694572393
21,al jahra',29.3375,-47.6581,307.94,19,0,3.02,KW,1694572536
22,port elizabeth,-33.918,-25.5701,283.7,77,4,5.33,ZA,1694572371
23,papatowai,-46.5619,-169.4708,283.2,68,75,9.01,NZ,1694572537
24,edinburgh of the seven seas,-37.0676,12.3116,284.93,69,60,7.46,SH,1694572537
25,passo fundo,-28.2628,52.4067,292.91,84,100,3.07,BR,1694572113
26,tougan,13.0667,3.0667,297.72,69,100,4.09,BF,1694572537
27,yellowknife,62.456,114.3525,287.75,79,75,2.06,CA,1694572411
28,placido de castro,-10.3353,67.1856,299.37,69,38,1.54,BR,1694572538
29,sarpang,26.864,-90.2674,304.35,61,62,1.49,BT,1694572538
30,ust-nera,64.5667,-143.2,280.19,47,22,2.51,RU,1694572538
31,kingston,17.997,76.7936,302.68,74,20,5.14,JM,1694572497
32,san patricio,28.017,97.5169,304.12,59,5,5.37,US,1694572539
33,hamilton,39.1834,84.5333,292.26,93,40,1.54,US,1694571986
34,al bawiti,28.3492,-28.8659,296.48,75,0,2.73,EG,1694572539
35,olonkinbyen,70.9221,8.7187,277.23,69,86,3.92,SJ,1694572539
36,sur,22.5667,-59.5289,302.5,61,6,3.45,OM,1694572540
37,kundian,32.4587,-71.4775,306.8,41,0,4.96,PK,1694572540
38,blackmans bay,-43.0167,-147.3167,290.22,55,100,3.98,AU,1694572540
39,yerofey pavlovich,53.9667,-121.9667,286.38,40,25,2.06,RU,1694572540
40,iqaluit,63.7506,68.5145,276.0,86,100,7.2,CA,1694572541
41,tandur,17.2333,-77.5833,298.41,80,91,4.7,IN,1694572541
42,rio cauto,20.5603,76.9161,298.12,87,49,2.22,CU,1694572541
